Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,23.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Neither good or bad at handling complex tasks,Not at all or minimally,204212.0,6.0
25-34 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,15.0,Employed,"Hybrid (some remote, leans heavy to in-person)",Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,5.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Very poor at handling complex tasks,"Yes, somewhat",77987.0,7.0
25-34 years old,Nepal,Some college/university study without earning a degree,8.0,20.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,7.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;I’ve become less confident in my own problem-solving",Favorable,"Good, but not great at handling complex tasks",Not at all or minimally,10908.0,8.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,11.0,Employed,"Hybrid (some remote, leans heavy to in-person)",Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",8.0,5.0,Yes,Not Specified,Very favorable,"Good, but not great at handling complex tasks","No, but my development work has changed somewhat due to non-AI factors",140000.0,8.0
25-34 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,20.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Media & Advertising Services,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,13.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,64968.0,7.0
45-54 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,5.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",I don’t know,"Internet, Telecomm or Information Services",Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",3.0,5.0,Yes,"AI solutions that are almost right, but not quite",Very favorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,32767.0,7.0
25-34 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,11.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",20 to 99 employees,Higher Education,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,3.0,No,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",44505.0,9.0
25-34 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,20.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,"Internet, Telecomm or Information Services",Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",0.0,0.0,No,Debugging AI-generated code is more time-consuming,Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,49886.0,8.0
55-64 years old,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",41.0,36.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Computer Systems Design and Services,Not Specified,I have transitioned into a new career and/or industry involuntarily,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",25.0,10.0,No,I haven’t encountered any problems,Very favorable,Bad at handling complex tasks,"Yes, somewhat",103354.0,10.0
25-34 years old,Not Specified,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,20.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",3.0,3.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,8.0
25-34 years old,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,20.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,Government,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,10.0,No,"AI solutions that are almost right, but not quite",Very favorable,Bad at handling complex tasks,"Yes, somewhat",73836.0,8.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,20.0,Employed,In-person,"1,000 to 4,999 employees",Banking/Financial Services,People manager,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",1.0,1.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",77987.0,8.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,10.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","5,000 to 9,999 employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,0.0,No,I’ve become less confident in my own problem-solving,Very favorable,Bad at handling complex tasks,"Yes, somewhat",120000.0,8.0
25-34 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,10.0,Employed,In-person,Less than 20 employees,"Transportation, or Supply Chain",Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,8.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;I’ve become less confident in my own problem-solving",Unfavorable,Very poor at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",57427.0,8.0
25-34 years old,Jordan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,8.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",30.0,5.0,I'm not sure,Not Specified,Not Specified,Not Specified,Not Specified,3526.0,6.0
25-34 years old,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,9.0,Employed,In-person,20 to 99 employees,Higher Education,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Very poor at handling complex tasks,Not at all or minimally,99194.0,8.0
45-54 years old,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,25.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Software Development,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,No,Other (write in):,Very favorable,Bad at handling complex tasks,"Yes, somewhat",77987.0,9.0
55-64 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",44.0,48.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Bad at handling complex tasks,Not at all or minimally,77987.0,10.0
35-44 years old,Not Specified,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20.0,20.0,Employed,Remote,100 to 499 employees,Insurance,Individual contributor,I have transitioned into a new career and/or industry involuntarily,No,"No, I didn't spend time learning in the past year",6.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,8.0
55-64 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,25.0,Employed,Remote,"1,000 to 4,999 employees",Government,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,5.0,Yes,"AI solutions that are almost right, but not quite;It’s hard to understand how or why the code works",Favorable,"Good, but not great at handling complex tasks",Not at all or minimally,77987.0,7.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,6.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,0.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Favorable,"Good, but not great at handling complex tasks",Not at all or minimally,120000.0,6.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,6.0,Employed,Not Specified,100 to 499 employees,Energy,Not Specified,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",10.0,5.0,I'm not sure,Not Specified,Unfavorable,Very poor at handling complex tasks,Not Specified,106.0,5.0
35-44 years old,Morocco,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,15.0,Employed,In-person,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","No, I didn't spend time learning in the past year",3.0,2.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I haven’t encountered any problems",Favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",77987.0,8.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,7.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Insurance,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,3.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",81685.0,7.0
45-54 years old,Argentina,"Associate degree (A.A., A.S., etc.)",35.0,35.0,Employed,Remote,Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",1.0,1.0,No,Not Specified,Indifferent,Very poor at handling complex tasks,Not at all or minimally,9827.0,5.0
25-34 years old,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0,9.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,6.0,I'm not sure,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",15082.0,6.0
55-64 years old,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,30.0,"Independent contractor, freelancer, or self-employed",Remote,"Just me - I am a freelancer, sole proprietor, etc.",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",41765.0,5.0
45-54 years old,Germany,Some college/university study without earning a degree,15.0,32.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","Just me - I am a freelancer, sole proprietor, etc.","Internet, Telecomm or Information Services",People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",30.0,15.0,No,Debugging AI-generated code is more time-consuming;Other (write in):,Favorable,Neither good or bad at handling complex tasks,Not at all or minimally,77987.0,7.0
18-24 years old,Spain,Some college/university study without earning a degree,5.0,5.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,5.0,I'm not sure,Not Specified,Favorable,"Good, but not great at handling complex tasks",Not Specified,87011.0,7.0
18-24 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,10.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,People manager,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,15.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Very poor at handling complex tasks,Not at all or minimally,58007.0,8.0
25-34 years old,Norway,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0,16.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I didn't spend time learning in the past year",3.0,5.0,No,Not Specified,Unfavorable,I don't use AI tools for complex tasks / I don't know,"No, but my development work has changed somewhat due to non-AI factors",67203.0,5.0
65 years or older,United States of America,"Associate degree (A.A., A.S., etc.)",27.0,28.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Higher Education,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,5.0,No,I don’t use AI tools regularly,Unsure,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,93000.0,7.0
45-54 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",27.0,39.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",1.0,1.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Very poor at handling complex tasks,Not at all or minimally,55687.0,8.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,19.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",15.0,0.0,No,I haven’t encountered any problems,Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",91884.0,7.0
18-24 years old,Kosovo,Some college/university study without earning a degree,3.0,7.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",4.0,3.0,No,Other (write in):,Favorable,Bad at handling complex tasks,"Yes, somewhat",41765.0,8.0
45-54 years old,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,30.0,Employed,In-person,Less than 20 employees,Software Development,People manager,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,4.0,I'm not sure,"AI solutions that are almost right, but not quite;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,Not at all or minimally,60328.0,2.0
18-24 years old,Nepal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,6.0,Student,Remote,Less than 20 employees,Software Development,People manager,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",3.0,3.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,8.0
18-24 years old,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,3.0,Employed,Remote,20 to 99 employees,Higher Education,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,I'm not sure,I haven’t encountered any problems,Very favorable,Very well at handling complex tasks,"Yes, to a great extent",10.0,5.0
35-44 years old,Portugal,Some college/university study without earning a degree,12.0,17.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,0.0,No,Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly,Unfavorable,Very poor at handling complex tasks,Not at all or minimally,54527.0,7.0
18-24 years old,China,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,7.0,Student,Not Specified,Not Specified,Not Specified,Not Specified,I have somewhat considered changing my career and/or the industry I work in,Not Specified,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,3.0,No,Debugging AI-generated code is more time-consuming,Indifferent,Bad at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",77987.0,6.0
18-24 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,12.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Other:,Not Specified,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",8.0,5.0,No,I don’t use AI tools regularly,Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,83173.0,9.0
25-34 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,10.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","No, I didn't spend time learning in the past year",10.0,10.0,I'm not sure,I don’t use AI tools regularly,Unsure,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,64203.0,8.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,18.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",15.0,5.0,I'm not sure,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,"No, but my development work has changed somewhat due to non-AI factors",195000.0,8.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,19.0,19.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",6.0,5.0,Yes,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,122527.0,2.0
45-54 years old,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,42.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Manufacturing,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",8.0,5.0,No,I don’t use AI tools regularly;Other (write in):,Unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,56604.0,6.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,8.0,Employed,In-person,I don’t know,"Transportation, or Supply Chain",Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,"Good, but not great at handling complex tasks",Not at all or minimally,77987.0,8.0
35-44 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,20.0,Employed,Remote,100 to 499 employees,Computer Systems Design and Services,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I didn't spend time learning in the past year",15.0,4.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,215227.0,7.0
25-34 years old,Italy,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5.0,8.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,2.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Bad at handling complex tasks,"Yes, somewhat",56847.0,5.0
25-34 years old,China,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,5.0,Employed,In-person,500 to 999 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",3.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,13929.0,6.0
35-44 years old,Not Specified,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,30.0,Employed,In-person,Less than 20 employees,Software Development,People manager,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,6.0
35-44 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,16.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have transitioned into a new career and/or industry voluntarily,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Bad at handling complex tasks,"Yes, somewhat",150819.0,7.0
45-54 years old,Not Specified,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,35.0,Employed,In-person,20 to 99 employees,Higher Education,People manager,Not Specified,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,7.0
35-44 years old,United States of America,Some college/university study without earning a degree,20.0,10.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,3.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):",Favorable,I don't use AI tools for complex tasks / I don't know,"Yes, somewhat",200000.0,6.0
25-34 years old,Kenya,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,5.0,"Independent contractor, freelancer, or self-employed",Remote,"Just me - I am a freelancer, sole proprietor, etc.",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,10.0,No,Debugging AI-generated code is more time-consuming,Very favorable,Very well at handling complex tasks,"Yes, to a great extent",2322.0,10.0
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,6.0,Employed,"Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Other (write in):",Favorable,Bad at handling complex tasks,"Yes, somewhat",50372.0,9.0
35-44 years old,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,25.0,Employed,In-person,100 to 499 employees,Computer Systems Design and Services,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",40.0,25.0,No,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,118593.0,7.0
45-54 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,10.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,5.0,No,"AI solutions that are almost right, but not quite",Very favorable,Neither good or bad at handling complex tasks,"Yes, to a great extent",77987.0,10.0
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,18.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",10.0,7.0,No,Debugging AI-generated code is more time-consuming,Indifferent,Very poor at handling complex tasks,"Yes, somewhat",11624.0,7.0
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,48.0,Employed,Remote,500 to 999 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",8.0,4.0,No,I don’t use AI tools regularly,Unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,260000.0,9.0
